,KEY,EXPIRY_DT,SCRIP_CODE,OI4,CLOSE4,NET_CHG_IN_VAL4,AVG_PRICE4,OI5,CLOSE5,CHG_IN_OI5,NET_CHG_IN_VAL5,NEW_NET_VAL5,AVG_PRICE5
44,FTSE100_18-May-2018_8400.0_CE,18-May-2018,39169.0,0.0,0.05,0.0,,0.0,0.05,0.0,0.0,0.0,
45,FTSE100_18-May-2018_8400.0_PE,18-May-2018,39170.0,0.0,816.3,0.0,,0.0,816.3,0.0,0.0,0.0,
46,FTSE100_18-May-2018_8500.0_CE,18-May-2018,40390.0,0.0,0.05,0.0,,0.0,0.05,0.0,0.0,0.0,
47,FTSE100_18-May-2018_8500.0_PE,18-May-2018,40391.0,0.0,825.15,0.0,,0.0,825.15,0.0,0.0,0.0,
48,FTSE100_18-May-2018_6100.0_CE,18-May-2018,46609.0,0.0,887.25,0.0,,0.0,887.25,0.0,0.0,0.0,
49,FTSE100_18-May-2018_6100.0_PE,18-May-2018,46610.0,0.0,1.65,0.0,,0.0,1.65,0.0,0.0,0.0,
50,NIFTYCPSE_24-May-2018_2300.0_PE,24-May-2018,45438.0,0.0,36.7,0.0,,0.0,36.7,0.0,0.0,0.0,
51,NIFTYCPSE_24-May-2018_2300.0_CE,24-May-2018,45426.0,0.0,149.9,0.0,,0.0,149.9,0.0,0.0,0.0,
52,NIFTYCPSE_24-May-2018_2325.0_PE,24-May-2018,45440.0,0.0,44.75,0.0,,0.0,44.75,0.0,0.0,0.0,
53,NIFTYCPSE_24-May-2018_2350.0_CE,24-May-2018,45441.0,0.0,117.75,0.0,,0.0,117.75,0.0,0.0,0.0,
54,NIFTYCPSE_24-May-2018_2350.0_PE,24-May-2018,45455.0,0.0,53.95,0.0,,0.0,53.95,0.0,0.0,0.0,
55,NIFTYCPSE_24-May-2018_2375.0_CE,24-May-2018,45456.0,0.0,103.4,0.0,,0.0,103.4,0.0,0.0,0.0,
56,NIFTYCPSE_24-May-2018_2375.0_PE,24-May-2018,45478.0,0.0,64.25,0.0,,0.0,64.25,0.0,0.0,0.0,
57,NIFTYCPSE_24-May-2018_2400.0_CE,24-May-2018,45479.0,0.0,90.2,0.0,,0.0,90.2,0.0,0.0,0.0,
58,NIFTYCPSE_24-May-2018_2400.0_PE,24-May-2018,45490.0,0.0,75.75,0.0,,0.0,75.75,0.0,0.0,0.0,
59,NIFTYCPSE_24-May-2018_2425.0_CE,24-May-2018,45491.0,0.0,78.2,0.0,,0.0,78.2,0.0,0.0,0.0,
60,NIFTYCPSE_24-May-2018_2425.0_PE,24-May-2018,45503.0,0.0,88.45,0.0,,0.0,88.45,0.0,0.0,0.0,
61,NIFTYCPSE_24-May-2018_2450.0_CE,24-May-2018,45504.0,0.0,67.3,0.0,,0.0,67.3,0.0,0.0,0.0,
62,NIFTYCPSE_24-May-2018_2450.0_PE,24-May-2018,45505.0,0.0,102.25,0.0,,0.0,102.25,0.0,0.0,0.0,
63,NIFTYCPSE_24-May-2018_2475.0_CE,24-May-2018,45508.0,0.0,57.6,0.0,,0.0,57.6,0.0,0.0,0.0,
64,NIFTYCPSE_24-May-2018_2475.0_PE,24-May-2018,45509.0,0.0,117.25,0.0,,0.0,117.25,0.0,0.0,0.0,
65,NIFTYCPSE_24-May-2018_2500.0_CE,24-May-2018,45510.0,0.0,48.95,0.0,,0.0,48.95,0.0,0.0,0.0,
66,NIFTYCPSE_24-May-2018_2500.0_PE,24-May-2018,45513.0,0.0,133.25,0.0,,0.0,133.25,0.0,0.0,0.0,
67,NIFTYCPSE_24-May-2018_2525.0_CE,24-May-2018,45514.0,0.0,41.3,0.0,,0.0,41.3,0.0,0.0,0.0,
68,NIFTYCPSE_24-May-2018_2525.0_PE,24-May-2018,45515.0,0.0,150.35,0.0,,0.0,150.35,0.0,0.0,0.0,
69,NIFTYCPSE_24-May-2018_2550.0_CE,24-May-2018,46958.0,0.0,34.7,0.0,,0.0,34.7,0.0,0.0,0.0,
70,NIFTYCPSE_24-May-2018_2550.0_PE,24-May-2018,46962.0,0.0,148.8,0.0,,0.0,148.8,0.0,0.0,0.0,
71,NIFTYCPSE_24-May-2018_2575.0_CE,24-May-2018,54091.0,0.0,27.4,0.0,,0.0,27.4,0.0,0.0,0.0,
72,NIFTYCPSE_24-May-2018_2575.0_PE,24-May-2018,54093.0,0.0,155.1,0.0,,0.0,155.1,0.0,0.0,0.0,
73,NIFTYCPSE_24-May-2018_2600.0_CE,24-May-2018,40184.0,0.0,18.35,0.0,,0.0,18.35,0.0,0.0,0.0,
