,KEY,OI1,CLOSE1,EXPIRY_DT,SCRIP_CODE,TOTAL_VAL
938,NIFTY_31-May-2018_9600.0_PE,1138275.0,3.1,31-May-2018,50593.0,3528652.5
939,NIFTY_31-May-2018_11850.0_PE,0.0,1262.05,31-May-2018,50688.0,0.0
940,NIFTY_31-May-2018_11900.0_CE,10275.0,0.5,31-May-2018,50694.0,5137.5
941,NIFTY_31-May-2018_11900.0_PE,975.0,1036.0,31-May-2018,50695.0,1010100.0
942,NIFTY_31-May-2018_11950.0_CE,0.0,25.1,31-May-2018,35047.0,0.0
943,NIFTY_31-May-2018_11950.0_PE,0.0,1261.25,31-May-2018,35048.0,0.0
944,NIFTY_31-May-2018_12000.0_CE,763125.0,0.55,31-May-2018,35057.0,419718.75000000006
945,NIFTY_31-May-2018_12000.0_PE,1639050.0,1231.45,31-May-2018,35058.0,2018408122.5
946,NIFTY_31-May-2018_12050.0_CE,5325.0,1.35,31-May-2018,36387.0,7188.750000000001
947,NIFTY_31-May-2018_12050.0_PE,0.0,1270.55,31-May-2018,36388.0,0.0
948,NIFTY_31-May-2018_12100.0_CE,42900.0,0.35,31-May-2018,36390.0,15014.999999999998
949,NIFTY_31-May-2018_12100.0_PE,44175.0,1347.05,31-May-2018,36391.0,59505933.75
950,NIFTY_31-May-2018_12150.0_CE,0.0,0.05,31-May-2018,35230.0,0.0
951,NIFTY_31-May-2018_12150.0_PE,0.0,1383.75,31-May-2018,35231.0,0.0
952,NIFTY_31-May-2018_12200.0_CE,17925.0,0.45,31-May-2018,35233.0,8066.25
953,NIFTY_31-May-2018_12200.0_PE,27675.0,1421.9,31-May-2018,35234.0,39351082.5
954,NIFTY_31-May-2018_12250.0_CE,0.0,0.05,31-May-2018,36433.0,0.0
955,NIFTY_31-May-2018_12250.0_PE,0.0,1445.0,31-May-2018,36434.0,0.0
956,NIFTY_31-May-2018_12300.0_CE,75.0,1.15,31-May-2018,41108.0,86.25
957,NIFTY_31-May-2018_12300.0_PE,0.0,1453.25,31-May-2018,41109.0,0.0
958,NIFTY_31-May-2018_10250.0_PE,88875.0,10.5,31-May-2018,50620.0,933187.5
959,NIFTY_31-May-2018_10300.0_CE,589575.0,466.55,31-May-2018,50621.0,275066216.25
960,NIFTY_31-May-2018_10300.0_PE,2918250.0,12.25,31-May-2018,50622.0,35748562.5
961,NIFTY_31-May-2018_10350.0_CE,2625.0,528.3,31-May-2018,50623.0,1386787.4999999998
962,NIFTY_31-May-2018_10350.0_PE,107550.0,14.6,31-May-2018,50624.0,1570230.0
963,NIFTY_31-May-2018_10400.0_CE,544950.0,378.2,31-May-2018,50625.0,206100090.0
964,NIFTY_31-May-2018_10400.0_PE,2945700.0,19.1,31-May-2018,50626.0,56262870.00000001
965,NIFTY_31-May-2018_10450.0_CE,4875.0,312.0,31-May-2018,50627.0,1521000.0
966,NIFTY_31-May-2018_10450.0_PE,90600.0,23.95,31-May-2018,50628.0,2169870.0
967,NIFTY_31-May-2018_10500.0_CE,620250.0,286.45,31-May-2018,50629.0,177670612.5
968,NIFTY_31-May-2018_10500.0_PE,5533650.0,30.4,31-May-2018,50630.0,168222960.0
969,NIFTY_31-May-2018_10550.0_CE,21900.0,230.0,31-May-2018,50631.0,5037000.0
970,NIFTY_31-May-2018_10550.0_PE,291675.0,38.15,31-May-2018,50632.0,11127401.25
971,NIFTY_31-May-2018_9650.0_CE,0.0,955.25,31-May-2018,50594.0,0.0
972,NIFTY_31-May-2018_9650.0_PE,225.0,20.0,31-May-2018,50595.0,4500.0
973,NIFTY_31-May-2018_9700.0_CE,74100.0,1065.2,31-May-2018,50596.0,78931320.0
974,NIFTY_31-May-2018_9700.0_PE,1100250.0,3.35,31-May-2018,50597.0,3685837.5
975,NIFTY_31-May-2018_9750.0_CE,0.0,869.6,31-May-2018,50598.0,0.0
976,NIFTY_31-May-2018_9750.0_PE,75.0,45.25,31-May-2018,50599.0,3393.75
977,NIFTY_31-May-2018_9800.0_CE,91800.0,949.25,31-May-2018,50600.0,87141150.0
978,NIFTY_31-May-2018_9800.0_PE,878025.0,3.8,31-May-2018,50601.0,3336495.0
979,NIFTY_31-May-2018_9850.0_CE,0.0,786.95,31-May-2018,50602.0,0.0
980,NIFTY_31-May-2018_9850.0_PE,150.0,11.9,31-May-2018,50603.0,1785.0
981,NIFTY_31-May-2018_9900.0_CE,63900.0,871.9,31-May-2018,50604.0,55714410.0
982,NIFTY_31-May-2018_9900.0_PE,977100.0,4.1,31-May-2018,50605.0,4006109.9999999995
983,NIFTY_31-May-2018_9950.0_CE,0.0,707.75,31-May-2018,50606.0,0.0
984,NIFTY_31-May-2018_9950.0_PE,54225.0,4.7,31-May-2018,50607.0,254857.5
985,NIFTY_31-May-2018_10000.0_CE,504525.0,754.85,31-May-2018,50609.0,380840696.25
986,NIFTY_31-May-2018_10000.0_PE,3284775.0,5.1,31-May-2018,50610.0,16752352.499999998
987,NIFTY_31-May-2018_10050.0_CE,75.0,620.0,31-May-2018,50611.0,46500.0
988,NIFTY_31-May-2018_10050.0_PE,77025.0,5.9,31-May-2018,50612.0,454447.5
989,NIFTY_31-May-2018_10100.0_CE,145275.0,663.2,31-May-2018,50613.0,96346380.0
990,NIFTY_31-May-2018_10100.0_PE,1287075.0,6.55,31-May-2018,50614.0,8430341.25
991,NIFTY_31-May-2018_10150.0_CE,150.0,488.0,31-May-2018,50615.0,73200.0
992,NIFTY_31-May-2018_10150.0_PE,42900.0,7.65,31-May-2018,50616.0,328185.0
