SCRIP_CODE,CLOSE,EXPIRY_DT
68129,79.0,31-05-2018 
56610,nan,31-05-2018 
96847,nan,31-05-2018 
64457,2.2,28-06-2018 
71133,nan,28-06-2018 
89175,0.8,31-05-2018 
94077,145.0,31-05-2018 
99720,1.3,31-05-2018 
51911,30.0,31-05-2018 
50434,714.0,31-05-2018 
87688,0.1,31-05-2018 
93430,66.9,31-05-2018 
58238,nan,28-06-2018 
88522,0.15,31-05-2018 
94686,nan,31-05-2018 
60587,nan,28-06-2018 
92231,nan,28-06-2018 
72255,160.1,31-05-2018 
56158,nan,31-05-2018 
49203,1181.55,28-06-2018 
86768,nan,31-05-2018 
50406,44.1,31-05-2018 
93824,0.3,31-05-2018 
61976,3.0,31-05-2018 
83629,nan,28-06-2018 
64674,0.65,31-05-2018 
87691,43.15,31-05-2018 
87260,10.0,31-05-2018 
68555,nan,28-06-2018 
47444,26.8,31-05-2018 
50345,3217.5,31-05-2018 
64881,1.1,31-05-2018 
59354,0.4,31-05-2018 
92194,nan,28-06-2018 
87984,nan,31-05-2018 
100342,nan,28-06-2018 
94129,nan,28-06-2018 
90153,nan,28-06-2018 
101294,85.0,31-05-2018 
52958,68.4,31-05-2018 
89633,nan,28-06-2018 
51551,84.85,31-05-2018 
87454,6.0,31-05-2018 
66077,32.8,31-05-2018 
69520,15.4,31-05-2018 
64071,1.5,31-05-2018 
98448,9.5,28-06-2018 
98923,nan,28-06-2018 
69868,nan,28-06-2018 
70541,8.1,28-06-2018 
71478,nan,28-06-2018 
75884,nan,28-06-2018 
64780,0.8,31-05-2018 
89597,7.6,28-06-2018 
46253,656.0,26-07-2018 
50530,320.85,31-05-2018 
50255,741.55,31-05-2018 
53247,nan,31-05-2018 
88448,0.45,31-05-2018 
91904,nan,28-06-2018 
62111,nan,31-05-2018 
63401,nan,28-06-2018 
72858,nan,28-06-2018 
52223,0.7,31-05-2018 
55240,12.0,31-05-2018 
56254,2.85,31-05-2018 
59145,21.5,31-05-2018 
88301,4.25,31-05-2018 
95258,9.8,28-06-2018 
63188,1.8,31-05-2018 
82865,2.0,28-06-2018 
65026,nan,28-06-2018 
99089,62.65,31-05-2018 
86254,nan,28-06-2018 
96717,nan,28-06-2018 
100241,15.0,31-05-2018 
78467,23.3,31-05-2018 
87175,72.5,31-05-2018 
54028,106.35,31-05-2018 
92764,3.4,31-05-2018 
89025,7.0,28-06-2018 
53358,11.5,31-05-2018 
50536,485.0,31-05-2018 
51196,95.0,31-05-2018 
56175,38.0,31-05-2018 
50398,26.35,31-05-2018 
88688,32.0,31-05-2018 
69515,0.65,31-05-2018 
98044,nan,28-06-2018 
52454,0.35,31-05-2018 
73473,nan,28-06-2018 
54315,8.1,31-05-2018 
67928,nan,28-06-2018 
78480,nan,28-06-2018 
64380,nan,28-06-2018 
92823,nan,28-06-2018 
97275,nan,28-06-2018 
93183,nan,28-06-2018 
71777,nan,31-05-2018 
105236,7.55,28-06-2018 
91639,0.8,31-05-2018 
92676,nan,28-06-2018 
95750,nan,28-06-2018 
73257,4.35,28-06-2018 
82300,nan,28-06-2018 
99113,nan,28-06-2018 
50452,2219.85,31-05-2018 
90964,17.0,28-06-2018 
37645,10.8,31-05-2018 
66323,20.0,31-05-2018 
62646,0.4,31-05-2018 
73717,nan,28-06-2018 
70939,25.45,31-05-2018 
90674,nan,28-06-2018 
87524,3.6,31-05-2018 
60352,5.05,31-05-2018 
94955,nan,28-06-2018 
96262,nan,28-06-2018 
75631,nan,28-06-2018 
85150,1.5,31-05-2018 
95927,nan,28-06-2018 
85309,45.0,31-05-2018 
63835,21.0,31-05-2018 
64882,227.75,31-05-2018 
91081,nan,28-06-2018 
62794,nan,28-06-2018 
62113,nan,31-05-2018 
64453,nan,28-06-2018 
79458,nan,31-05-2018 
51375,nan,31-05-2018 
52658,376.0,31-05-2018 
70821,95.5,31-05-2018 
95500,nan,28-06-2018 
53235,33.25,31-05-2018 
79960,nan,28-06-2018 
80600,4.4,31-05-2018 
50367,3997.55,31-05-2018 
55125,35.0,31-05-2018 
105225,3.75,28-06-2018 
53716,2.55,31-05-2018 
94060,0.3,31-05-2018 
91692,nan,28-06-2018 
95639,nan,31-05-2018 
95886,4.2,31-05-2018 
92680,nan,28-06-2018 
98067,nan,28-06-2018 
58533,0.25,31-05-2018 
92650,nan,28-06-2018 
52999,69.3,31-05-2018 
90208,nan,28-06-2018 
94448,0.3,31-05-2018 
48984,393.9,28-06-2018 
49913,nan,26-07-2018 
100273,73.4,31-05-2018 
54843,10.0,31-05-2018 
39068,nan,24-05-2018 
91221,246.6,31-05-2018 
57749,2.1,28-06-2018 
46030,nan,26-07-2018 
60827,12.5,31-05-2018 
61270,nan,28-06-2018 
93526,nan,28-06-2018 
98450,6.65,28-06-2018 
99600,45.45,31-05-2018 
79375,nan,28-06-2018 
67998,42.0,31-05-2018 
97747,nan,31-05-2018 
74775,1.9,31-05-2018 
35676,277.3,31-05-2018 
52718,92.3,31-05-2018 
91817,21.45,31-05-2018 
93838,0.25,31-05-2018 
67168,17.3,31-05-2018 
98853,140.0,28-06-2018 
52930,nan,31-05-2018 
37962,nan,28-06-2018 
77181,33.0,28-06-2018 
98189,nan,28-06-2018 
98496,3.65,31-05-2018 
89601,16.0,28-06-2018 
63454,75.1,31-05-2018 
40588,5630.0,27-12-2018 
54780,0.65,31-05-2018 
52235,5.4,31-05-2018 
57519,nan,31-05-2018 
78647,nan,28-06-2018 
96602,1.55,28-06-2018 
91329,nan,28-06-2018 
96709,nan,28-06-2018 
57826,nan,28-06-2018 
71858,nan,28-06-2018 
71349,7.25,31-05-2018 
45518,315.5,26-07-2018 
63438,4.3,31-05-2018 
72079,nan,28-06-2018 
58011,1.45,28-06-2018 
47466,0.45,31-05-2018 
57924,nan,28-06-2018 
40543,24.85,28-06-2018 
46254,68.0,26-07-2018 
40167,37.1,24-05-2018 
50333,1373.3,31-05-2018 
54714,21.9,31-05-2018 
52230,6.5,31-05-2018 
52982,2.8,31-05-2018 
86939,nan,31-05-2018 
97836,nan,28-06-2018 
96378,11.15,28-06-2018 
71430,31.0,28-06-2018 
48950,114.65,28-06-2018 
79778,nan,28-06-2018 
64683,8.35,31-05-2018 
100215,9.5,26-07-2018 
57700,0.4,31-05-2018 
60696,nan,28-06-2018 
67698,0.6,31-05-2018 
97959,7.5,31-05-2018 
73709,nan,28-06-2018 
68230,2.0,31-05-2018 
84498,nan,28-06-2018 
71979,5.35,31-05-2018 
53245,235.0,31-05-2018 
63937,0.15,31-05-2018 
59161,3.75,31-05-2018 
66604,0.4,31-05-2018 
91326,nan,28-06-2018 
96909,nan,28-06-2018 
66024,10.15,28-06-2018 
67169,4.2,31-05-2018 
74142,nan,28-06-2018 
96624,nan,28-06-2018 
60586,nan,28-06-2018 
59268,nan,28-06-2018 
51843,12.45,31-05-2018 
76383,79.2,31-05-2018 
52939,2.95,31-05-2018 
49443,579.0,28-06-2018 
68264,nan,28-06-2018 
70950,nan,28-06-2018 
54355,nan,31-05-2018 
98197,nan,28-06-2018 
91880,nan,28-06-2018 
49072,74.15,28-06-2018 
48269,2.3,31-05-2018 
35031,93.15,31-05-2018 
101390,nan,28-06-2018 
45524,62.35,26-07-2018 
57583,0.85,28-06-2018 
60826,15.0,31-05-2018 
66019,17.9,28-06-2018 
37891,0.2,31-05-2018 
71125,nan,28-06-2018 
90546,nan,28-06-2018 
51893,16.95,31-05-2018 
94094,nan,28-06-2018 
94820,10.85,28-06-2018 
68004,29.9,31-05-2018 
51527,128.0,31-05-2018 
48548,1071.3,28-06-2018 
90632,nan,28-06-2018 
41668,5.35,28-06-2018 
69242,1.0,31-05-2018 
62655,32.45,31-05-2018 
95174,nan,28-06-2018 
96416,nan,28-06-2018 
89889,nan,28-06-2018 
90437,nan,28-06-2018 
71428,nan,28-06-2018 
58021,nan,28-06-2018 
89283,nan,28-06-2018 
48698,737.75,28-06-2018 
58521,17.0,31-05-2018 
63025,88.0,31-05-2018 
98587,5.75,28-06-2018 
64280,0.1,31-05-2018 
97256,nan,28-06-2018 
92904,nan,28-06-2018 
50636,46.8,31-05-2018 
72665,17.05,31-05-2018 
57194,13.8,31-05-2018 
58217,637.15,31-05-2018 
65982,3.85,31-05-2018 
73585,nan,28-06-2018 
60577,nan,28-06-2018 
89884,nan,28-06-2018 
66856,30.0,31-05-2018 
66858,43.6,31-05-2018 
67815,0.1,31-05-2018 
82855,6.5,28-06-2018 
70002,2.35,31-05-2018 
90178,nan,28-06-2018 
104222,80.0,28-06-2018 
71441,nan,28-06-2018 
72748,nan,28-06-2018 
66179,nan,31-05-2018 
71848,nan,28-06-2018 
80885,27.0,28-06-2018 
38336,3.05,28-06-2018 
103057,0.6,31-05-2018 
59995,11.25,31-05-2018 
94684,nan,31-05-2018 
92183,nan,28-06-2018 
62425,27.75,31-05-2018 
73719,nan,28-06-2018 
98774,nan,28-06-2018 
54468,nan,31-05-2018 
95979,nan,28-06-2018 
48408,425.5,28-06-2018 
81719,1.8,31-05-2018 
56101,nan,31-05-2018 
65295,0.6,31-05-2018 
92164,nan,28-06-2018 
99087,49.3,31-05-2018 
71340,96.35,31-05-2018 
44761,nan,28-06-2018 
105371,nan,28-06-2018 
101362,nan,31-05-2018 
53651,68.0,31-05-2018 
95655,nan,31-05-2018 
89348,6.55,28-06-2018 
88527,11.5,31-05-2018 
98919,nan,28-06-2018 
103236,nan,28-06-2018 
52479,nan,31-05-2018 
95196,nan,28-06-2018 
50377,75.2,31-05-2018 
80875,nan,28-06-2018 
51506,139.6,31-05-2018 
55131,136.0,31-05-2018 
45587,181.35,26-07-2018 
86995,0.25,31-05-2018 
87042,20.4,31-05-2018 
56661,20.1,31-05-2018 
94050,1.8,31-05-2018 
60782,nan,31-05-2018 
97739,21.3,31-05-2018 
69994,11.75,31-05-2018 
52986,0.4,31-05-2018 
91256,100.0,31-05-2018 
81534,nan,28-06-2018 
92636,nan,28-06-2018 
96124,2.0,31-05-2018 
50525,399.65,31-05-2018 
51197,3.45,31-05-2018 
54832,nan,31-05-2018 
105377,15.5,28-06-2018 
87047,7.15,31-05-2018 
64681,5.05,31-05-2018 
92400,3.9,31-05-2018 
