SCRIP_CODE,CLOSE,EXPIRY_DT
52718,120.0,31-05-2018 
60706,nan,31-05-2018 
98496,3.65,31-05-2018 
98853,140.0,28-06-2018 
63034,0.1,31-05-2018 
67168,17.3,31-05-2018 
35676,277.3,31-05-2018 
36921,nan,31-05-2018 
77181,33.0,28-06-2018 
45844,nan,24-06-2021 
74775,1.9,31-05-2018 
97374,nan,28-06-2018 
100377,nan,28-06-2018 
63454,75.1,31-05-2018 
54780,1.0,31-05-2018 
52235,5.3,31-05-2018 
57519,nan,31-05-2018 
58006,nan,28-06-2018 
91329,nan,28-06-2018 
89601,16.0,28-06-2018 
101805,103.0,31-05-2018 
78647,nan,28-06-2018 
96602,1.55,28-06-2018 
71858,nan,28-06-2018 
96709,nan,28-06-2018 
71349,9.85,31-05-2018 
36216,632.0,26-12-2019 
77686,91.2,31-05-2018 
87845,nan,31-05-2018 
58011,1.45,28-06-2018 
63381,0.1,31-05-2018 
70400,nan,28-06-2018 
72079,nan,28-06-2018 
63438,4.3,31-05-2018 
45518,315.5,26-07-2018 
47466,0.45,31-05-2018 
88534,0.1,31-05-2018 
50333,1371.3,31-05-2018 
40167,41.5,24-05-2018 
46180,nan,25-06-2020 
54714,21.9,31-05-2018 
46254,68.5,26-07-2018 
40543,24.6,28-06-2018 
52230,6.15,31-05-2018 
52982,2.5,31-05-2018 
96378,11.15,28-06-2018 
53628,nan,31-05-2018 
97836,nan,28-06-2018 
86939,nan,31-05-2018 
52571,nan,31-05-2018 
70501,0.15,31-05-2018 
48950,114.65,28-06-2018 
63677,21.1,31-05-2018 
64683,8.35,31-05-2018 
57700,0.4,31-05-2018 
85352,nan,31-05-2018 
68230,2.0,31-05-2018 
97959,7.5,31-05-2018 
100215,9.5,26-07-2018 
46296,486.0,25-06-2020 
79778,nan,28-06-2018 
67698,0.6,31-05-2018 
71979,5.65,31-05-2018 
63937,0.15,31-05-2018 
66604,0.5,31-05-2018 
53245,235.0,31-05-2018 
59161,2.7,31-05-2018 
96909,nan,28-06-2018 
66024,10.15,28-06-2018 
91326,nan,28-06-2018 
67169,4.6,31-05-2018 
60586,nan,28-06-2018 
59268,nan,28-06-2018 
96624,nan,28-06-2018 
49443,584.0,28-06-2018 
51843,12.45,31-05-2018 
76383,79.2,31-05-2018 
52939,2.7,31-05-2018 
54355,nan,31-05-2018 
99555,15.0,31-05-2018 
67326,nan,31-05-2018 
76999,nan,28-06-2018 
56115,92.8,31-05-2018 
102808,nan,31-05-2018 
98129,nan,31-05-2018 
37891,0.2,31-05-2018 
49072,74.5,28-06-2018 
35031,94.05,31-05-2018 
45524,62.35,26-07-2018 
51893,16.95,31-05-2018 
67769,13.25,31-05-2018 
60826,15.0,31-05-2018 
97801,nan,28-06-2018 
66019,17.9,28-06-2018 
94094,nan,28-06-2018 
101390,nan,28-06-2018 
90546,nan,28-06-2018 
94820,10.85,28-06-2018 
48269,2.3,31-05-2018 
70758,nan,31-05-2018 
71125,nan,28-06-2018 
92938,nan,28-06-2018 
41668,5.3,28-06-2018 
48548,1069.6,28-06-2018 
51527,128.0,31-05-2018 
68004,29.9,31-05-2018 
69242,1.05,31-05-2018 
58021,nan,28-06-2018 
62655,32.45,31-05-2018 
89889,nan,28-06-2018 
96416,nan,28-06-2018 
76423,nan,31-05-2018 
49952,nan,29-12-2022 
89639,nan,28-06-2018 
90632,nan,28-06-2018 
90822,8.5,28-06-2018 
95366,nan,28-06-2018 
64280,0.1,31-05-2018 
65655,nan,31-05-2018 
58521,17.0,31-05-2018 
68528,0.1,31-05-2018 
87814,nan,31-05-2018 
98587,5.75,28-06-2018 
63025,88.0,31-05-2018 
89283,nan,28-06-2018 
89686,nan,28-06-2018 
46533,54.0,26-12-2019 
48698,737.75,28-06-2018 
92904,nan,28-06-2018 
50636,46.65,31-05-2018 
72665,16.0,31-05-2018 
57194,13.8,31-05-2018 
65982,4.15,31-05-2018 
97663,nan,28-06-2018 
102075,nan,31-05-2018 
73585,nan,28-06-2018 
79207,nan,28-06-2018 
64633,0.7,31-05-2018 
60577,nan,28-06-2018 
86853,nan,31-05-2018 
58217,637.15,31-05-2018 
65202,1.5,31-05-2018 
92410,0.5,31-05-2018 
55759,nan,31-05-2018 
38336,3.05,28-06-2018 
66856,30.0,31-05-2018 
66858,43.6,31-05-2018 
67815,0.1,31-05-2018 
70002,2.35,31-05-2018 
97917,nan,28-06-2018 
89884,nan,28-06-2018 
96716,nan,28-06-2018 
80885,27.0,28-06-2018 
54589,26.0,31-05-2018 
104222,80.0,28-06-2018 
71848,nan,28-06-2018 
96283,nan,28-06-2018 
82855,6.5,28-06-2018 
94684,nan,31-05-2018 
59995,13.9,31-05-2018 
54468,nan,31-05-2018 
62425,28.1,31-05-2018 
92183,nan,28-06-2018 
103057,0.6,31-05-2018 
86278,nan,28-06-2018 
35230,nan,31-05-2018 
71340,96.35,31-05-2018 
44761,nan,28-06-2018 
56101,nan,31-05-2018 
65295,0.6,31-05-2018 
81719,1.7,31-05-2018 
99087,49.3,31-05-2018 
48408,426.0,28-06-2018 
105371,nan,28-06-2018 
88616,nan,31-05-2018 
66592,nan,31-05-2018 
61901,nan,31-05-2018 
81540,nan,28-06-2018 
98881,nan,28-06-2018 
88915,0.05,31-05-2018 
53651,68.0,31-05-2018 
88527,11.5,31-05-2018 
91336,nan,28-06-2018 
89348,6.55,28-06-2018 
52479,nan,31-05-2018 
95655,nan,31-05-2018 
98919,nan,28-06-2018 
68158,nan,31-05-2018 
50377,75.25,31-05-2018 
51506,139.6,31-05-2018 
55131,136.0,31-05-2018 
91256,100.0,31-05-2018 
56661,20.1,31-05-2018 
94050,1.95,31-05-2018 
52986,0.4,31-05-2018 
86995,0.25,31-05-2018 
87042,20.4,31-05-2018 
96124,2.0,31-05-2018 
60782,nan,31-05-2018 
97739,21.3,31-05-2018 
69994,11.8,31-05-2018 
101812,1.35,31-05-2018 
45587,181.35,26-07-2018 
80875,nan,28-06-2018 
50163,5142.0,31-05-2018 
51197,3.45,31-05-2018 
50525,383.85,31-05-2018 
46886,86.0,26-12-2019 
49522,143.05,29-12-2022 
54832,nan,31-05-2018 
64681,5.05,31-05-2018 
92400,3.75,31-05-2018 
77642,1.75,31-05-2018 
94687,0.2,31-05-2018 
57745,0.15,31-05-2018 
87047,7.0,31-05-2018 
68023,13.0,31-05-2018 
87690,0.05,31-05-2018 
97870,nan,28-06-2018 
98811,nan,28-06-2018 
98819,nan,28-06-2018 
88967,nan,28-06-2018 
105377,15.5,28-06-2018 
79067,nan,28-06-2018 
40981,nan,30-12-2021 
82322,19.0,28-06-2018 
89996,30.8,28-06-2018 
72441,nan,28-06-2018 
36384,28.0,31-05-2018 
70945,47.55,31-05-2018 
63659,4.65,31-05-2018 
55121,18.4,31-05-2018 
52226,8.55,31-05-2018 
96100,124.95,31-05-2018 
66022,14.85,28-06-2018 
102888,4.05,31-05-2018 
45640,nan,30-12-2021 
98922,22.8,28-06-2018 
96612,nan,28-06-2018 
96690,nan,28-06-2018 
67424,nan,31-05-2018 
52796,42.35,31-05-2018 
87198,0.3,31-05-2018 
87519,0.25,31-05-2018 
101400,nan,28-06-2018 
38914,nan,31-05-2018 
51173,110.0,31-05-2018 
71352,6.65,31-05-2018 
53963,1.2,31-05-2018 
54038,19.0,31-05-2018 
87911,nan,31-05-2018 
83580,0.2,28-06-2018 
89897,nan,28-06-2018 
95810,nan,31-05-2018 
73252,nan,28-06-2018 
45961,348.0,24-06-2021 
60055,nan,28-06-2018 
49684,nan,27-09-2018 
71780,1.5,31-05-2018 
56248,7.35,31-05-2018 
65269,4.95,31-05-2018 
94058,0.4,31-05-2018 
91331,nan,28-06-2018 
51210,117.0,31-05-2018 
90034,nan,28-06-2018 
95276,nan,28-06-2018 
54823,nan,31-05-2018 
